tick,scfa,lps_microbiota,permeability,cellEpit,lps_lumen,tnfAlfa,alfasin,nadh,alfasinucleina,ros,electron,oxygen
319,39,0,326.34592796970384,100,300,301,22,500,397,37,104,663
320,39,0,326.34592796970384,100,300,301,24,500,398,38,105,662
321,39,0,326.34592796970384,100,300,302,24,500,400,38,107,662
322,39,0,326.34592796970384,100,300,302,27,500,400,38,110,662
323,39,0,326.34592796970384,100,300,300,29,500,400,40,111,660
324,39,0,326.34592796970384,100,300,300,28,500,403,41,113,659
325,39,0,326.34592796970384,100,300,300,30,500,404,41,116,659
326,39,0,326.34592796970384,100,300,299,32,500,405,42,116,658
327,39,0,326.34592796970384,100,300,298,33,500,407,43,120,657
328,39,0,326.34592796970384,100,300,300,31,500,412,46,119,654
329,39,0,326.34592796970384,100,300,300,31,500,415,48,122,652
330,39,0,326.34592796970384,100,300,301,33,500,416,48,124,652
331,39,0,326.34592796970384,100,300,302,34,500,418,49,125,651
332,39,0,326.34592796970384,100,300,302,36,500,419,50,125,650
333,39,0,326.34592796970384,100,300,301,36,500,421,50,125,650
334,39,0,326.34592796970384,100,300,301,38,500,421,50,127,650
335,39,0,326.34592796970384,100,300,301,36,500,426,50,129,650
336,39,0,326.34592796970384,100,300,302,38,500,427,52,129,648
337,39,0,326.34592796970384,100,300,302,36,500,431,52,129,648
338,39,0,326.34592796970384,100,300,303,38,500,432,52,130,648
339,39,0,326.34592796970384,100,300,303,41,500,432,52,133,648
340,39,0,326.34592796970384,100,300,303,38,500,437,54,134,646
341,39,0,326.34592796970384,100,300,303,38,500,440,55,134,645
342,39,0,326.34592796970384,100,300,303,40,500,441,55,136,645
343,39,0,326.34592796970384,100,300,303,40,500,443,55,138,645
344,39,0,326.34592796970384,100,300,302,38,500,447,56,139,644
345,39,0,326.34592796970384,100,300,303,41,500,447,57,141,643
346,39,0,326.34592796970384,100,300,303,43,500,448,57,143,643
347,39,0,326.34592796970384,100,300,303,44,500,450,57,144,643
348,39,0,326.34592796970384,100,300,303,46,500,451,59,145,641
349,39,0,326.34592796970384,100,300,303,49,500,451,59,147,641
350,39,0,326.34592796970384,100,300,303,47,500,455,59,147,641
351,39,0,326.34592796970384,100,300,301,49,500,456,59,147,641
352,39,0,326.34592796970384,100,300,302,48,500,460,60,149,640
353,39,0,326.34592796970384,100,300,302,47,500,464,61,150,639
354,39,0,326.34592796970384,100,300,302,50,500,464,64,154,636
355,39,0,326.34592796970384,100,300,301,51,500,465,64,154,636
356,39,0,326.34592796970384,100,300,301,54,500,465,64,156,636
357,39,0,326.34592796970384,100,300,300,56,500,465,64,158,636
358,39,0,326.34592796970384,100,300,301,55,500,469,64,160,636
359,39,0,326.34592796970384,100,300,301,57,500,469,64,161,636
360,39,0,326.34592796970384,100,300,300,59,500,470,65,163,635
361,39,0,326.34592796970384,100,300,300,56,500,475,67,167,633
362,39,0,326.34592796970384,100,300,301,59,500,475,67,169,633
363,39,0,326.34592796970384,100,300,301,61,500,476,67,171,633
364,39,0,326.34592796970384,100,300,300,62,500,477,67,172,633
